name,price,rating,category,number of reviews,type,Distance from Downtown
Romantic - Hyper Center - Quiet - Bright,"US$1,111",8.0,Very Good,17 reviews,Deluxe Apartment,0.8 km from downtown
Timhotel Nation,US$602,8.2,Very Good,289 reviews,Standard Single Room,3.5 km from downtown
Hotel de l'Europe,US$414,7.1,Good,"2,842 reviews",Standard Single Room,3.8 km from downtown
Lovely & Exclusive Parisian Flat,"US$1,965",8.8,Excellent,18 reviews,One-Bedroom Apartment,2.9 km from downtown
Montparnasse Daguerre,US$629,8.1,Very Good,"2,397 reviews",Single Room,3 km from downtown
Hotel Cactus,US$474,7.2,Good,"2,145 reviews",Double Room,3.6 km from downtown
L'Espérance,US$493,7.3,Good,840 reviews,Single Room,2.9 km from downtown
Grand Hotel des Balcons,US$782,8.5,Very Good,"2,342 reviews",Single Room,1.1 km from downtown
Hôtel Avama Prony,US$594,7.6,Good,"1,002 reviews",Double Room with Street View,5 km from downtown
Chatillon Paris Montparnasse,US$543,8.4,Very Good,"1,570 reviews",Classic Room,4 km from downtown
Louisa Hotel Paris,US$709,7.4,Good,"1,582 reviews",Double Room,4.8 km from downtown
FIAP Paris,US$374,7.7,Good,"3,683 reviews",Single Bed in Female Dormitory Room - aged 18-30,3.1 km from downtown
Hotel Imperial Paris,US$675,8.2,Very Good,"1,900 reviews",Single Room,2.3 km from downtown
Hotel Marena,US$782,8.4,Very Good,"1,863 reviews",Chambre Double Classique,2.6 km from downtown
Pavillon Monceau,US$642,8.1,Very Good,"1,894 reviews",Single Room,4.5 km from downtown
Hôtel Léna,US$680,7.7,Good,"2,304 reviews",Single Room,2.4 km from downtown
Hotel La Manufacture,US$595,8.4,Very Good,"2,081 reviews",Classic Double Room,2.7 km from downtown
Motel One Paris-Porte Dorée,US$624,8.6,Excellent,"8,099 reviews",King Room,4.9 km from downtown
Hotel Le Richemont,US$601,8.2,Very Good,"2,406 reviews",Economy Single Room,3.4 km from downtown
Maison Axel Opéra Paris,US$930,8.5,Very Good,"1,066 reviews",Standard Double Room,1.9 km from downtown
Hotel Beausejour,US$629,7.9,Good,"1,150 reviews",Standard Single Room,1.9 km from downtown
Hotel Andréa,US$818,7.6,Good,"1,172 reviews",Single Room,200 m from downtown
Hotel Brady - Gare de l'Est,US$794,8.2,Very Good,"1,732 reviews",Standard Single Room,1.6 km from downtown
Hôtel des Comédies,US$913,8.2,Very Good,"1,577 reviews",Double or Twin Room,1.6 km from downtown
MIJE MARAIS Hostel,US$283,7.5,Good,"6,586 reviews",Single Bed in Female Dormitory Room,0.6 km from downtown
Hotel Champerret Elysees,US$610,8.6,Excellent,"1,709 reviews",Economy Single Room,5.3 km from downtown
Hotel Armoni Paris,US$890,8.2,Very Good,"2,240 reviews",Standard Double Room,5.3 km from downtown
Nord Est Hotel,US$723,7.7,Good,"1,730 reviews",Superior Double Room,2.3 km from downtown
Zazie Hôtel,US$901,8.0,Very Good,424 reviews,Triple Room,2.6 km from downtown
Hôtel de Bordeaux,US$737,7.5,Good,"2,966 reviews",Standard Double Room with Shower,2 km from downtown
Hotel London,US$862,8.2,Very Good,"2,126 reviews",Standard Double Room,2 km from downtown
Kyriad Hotel XIII Italie Gobelins,US$652,7.9,Good,"4,357 reviews",Double Room,2.6 km from downtown
Hôtel Du Mont Dore Batignolles,US$586,8.0,Very Good,"1,026 reviews",Standard Double Room,3.7 km from downtown
Rose Bourbon,US$654,8.3,Very Good,"1,308 reviews",Classic Single Room,4.8 km from downtown
Hotel Terminus Lyon,US$849,8.1,Very Good,"3,578 reviews",Classic Double Room,1.9 km from downtown
"Hotel Apolonia Paris Mouffetard, Sure Hotel Collection by Best Western",US$804,8.7,Excellent,"1,383 reviews",Standard Single Room,1.5 km from downtown
Nouvel Hôtel Eiffel,US$744,8.0,Very Good,"1,173 reviews",Single Room,3.6 km from downtown
Hotel Bel Oranger Gare de Lyon,US$661,8.2,Very Good,"1,733 reviews",Double Room,1.8 km from downtown
Hôtel Toujours & Spa,"US$1,060",8.7,Excellent,"1,263 reviews",Double Room,5.4 km from downtown
Hotel Agenor,US$833,7.6,Good,"1,610 reviews",Single Room with Shower,3 km from downtown
Montparnasse Alésia,US$624,8.1,Very Good,"2,481 reviews",Standard Single Room,3.7 km from downtown
Hôtel Victor Hugo Paris Kléber,"US$1,100",8.3,Very Good,781 reviews,Single Room,4.8 km from downtown
Hôtel Raspail Montparnasse,"US$1,066",8.7,Excellent,"1,561 reviews",Classic Single Room,2.3 km from downtown
55 Hôtel Montparnasse,US$686,7.5,Good,"2,267 reviews",Superior Twin Room,3.6 km from downtown
Hotel Eden Montmartre,US$685,8.3,Very Good,"1,968 reviews",Standard Queen Room,4.1 km from downtown
Hôtel 85 Saint Honore,US$973,7.9,Good,"1,079 reviews",CLASSIC Double Room – Courtyard View,0.8 km from downtown
Grand Hotel Chicago,US$879,8.7,Excellent,888 reviews,Classic Room Street View,3.9 km from downtown
Hôtel Théorème,"US$1,071",8.4,Very Good,833 reviews,Standard Double Room,2 km from downtown
Hotel Monceau Wagram,US$756,7.6,Good,"1,185 reviews",Standard Double Room,4.7 km from downtown
Grand Hôtel De Turin,US$500,7.9,Good,"1,858 reviews",Single Room,2.8 km from downtown
Atlantic Hotel,US$948,8.9,Excellent,"3,063 reviews",Standard Queen Room,3 km from downtown
Hôtel du Roussillon,US$369,7.6,Good,"2,047 reviews",Standard Studio,3 km from downtown
Hôtel Maxim Folies,"US$1,174",8.9,Excellent,979 reviews,Standard Double Room,2 km from downtown
Atelier Montparnasse Hôtel,US$523,7.0,Good,"1,310 reviews",Single Room,3.6 km from downtown
Hôtel Paris Vaugirard,US$571,8.1,Very Good,"4,696 reviews",Single Room,5.3 km from downtown
Hôtel Liège Strasbourg,US$539,7.5,Good,"3,456 reviews",Single Room,1.9 km from downtown
Hotel de L'Empereur by Malone,"US$1,316",8.7,Excellent,963 reviews,Standard Double Room,3.1 km from downtown
Paris Bastille,US$882,8.3,Very Good,"1,657 reviews",Double or Twin Room,1.5 km from downtown
Hotel Lilas Blanc,US$811,8.4,Very Good,"2,395 reviews",Standard Double Room - no elevator,4 km from downtown
